,domain,dt_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,tiny.cc,20180328,1,0,0,0,0,0,2,3,4,1,6,10,6,10,5,8,4,4,6,4,3,3,5,7
1,tiny.cc,20180329,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,tiny.cc,20180327,0,0,0,0,0,0,0,0,4,4,11,4,8,3,8,10,8,4,4,5,6,8,3,3
3,tiny.cc,20180326,2,1,0,0,0,0,0,4,9,3,9,4,6,7,11,7,8,3,3,5,4,8,3,12
4,tiny.cc,20180325,1,3,0,2,0,0,0,2,1,11,6,4,4,8,1,3,6,4,6,6,3,4,6,4
5,tiny.cc,20180324,2,0,0,0,0,0,1,1,6,2,7,6,4,2,3,1,5,2,7,2,3,3,3,4
6,tiny.cc,20180323,6,4,1,0,0,0,0,3,2,4,5,8,7,0,1,4,11,6,3,2,1,3,2,4
7,tiny.cc,20180322,0,0,0,0,0,0,0,0,1,3,6,3,4,5,3,4,9,3,4,1,3,8,6,1
8,speednames.com,20180324,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,getforge.io,20180326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,j.gs,20180328,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
11,j.gs,20180329,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,j.gs,20180326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
13,j.gs,20180327,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,j.gs,20180325,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
15,j.gs,20180324,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0
16,j.gs,20180322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
17,bl.ee,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,aww.su,20180324,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,lunarbreeze.com,20180328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,darktech.org,20180328,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
21,darktech.org,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55
22,darktech.org,20180322,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
23,redirectme.net,20180328,0,0,0,0,0,0,0,0,0,0,0,3,47,9,21,0,9,12,9,11,10,9,0,1
24,redirectme.net,20180329,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,redirectme.net,20180326,21,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,19,17,31,22,7,4
26,redirectme.net,20180327,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,28,42,8,0,2,4
27,redirectme.net,20180325,14,7,9,10,0,0,0,0,0,0,0,0,26,0,12,9,7,12,5,6,9,23,10,8
28,redirectme.net,20180324,17,0,0,0,0,0,0,0,0,0,0,0,0,25,19,5,0,0,0,2,9,5,8,8
29,redirectme.net,20180323,1,0,0,0,0,0,0,0,0,0,0,0,0,95,7,13,12,12,8,26,7,13,7,15
30,redirectme.net,20180322,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,14,7,0,16,12,9,8,11,10
31,jino.ru,20180328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
32,jino.ru,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,jino.ru,20180326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
34,jino.ru,20180323,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,4,0,0,0,0
35,jino.ru,20180322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
36,xzwomen.com,20180328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
37,1gb.ru,20180328,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0
38,1gb.ru,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0
39,1gb.ru,20180326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1
40,1gb.ru,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
41,1gb.ru,20180324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
42,1gb.ru,20180323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,cba.pl,20180328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0
44,cba.pl,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
45,cba.pl,20180326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
46,cba.pl,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,cba.pl,20180324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
48,lce9v.com,20180328,2,8,1,0,0,4,1,2,1,0,2,2,2,4,9,14,11,0,0,0,0,0,0,0
49,lce9v.com,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0
50,lce9v.com,20180326,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,lce9v.com,20180324,0,0,0,0,0,0,3,0,4,0,2,1,3,2,0,2,6,10,0,1,1,2,1,3
52,lce9v.com,20180325,5,2,4,4,3,0,0,0,0,0,2,0,0,0,0,2,6,0,1,0,0,0,0,4
53,lce9v.com,20180323,4,0,1,0,0,1,0,0,2,2,2,0,4,4,2,2,2,3,2,0,0,1,0,0
54,lce9v.com,20180322,0,0,0,0,0,0,0,0,1,0,0,0,0,9,4,0,4,4,2,0,0,0,0,0
55,twowheelcool.com,20180324,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,twowheelcool.com,20180325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,unadnet.com.cn,20180322,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
58,wsu.ac.za,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,vnu.edu.vn,20180328,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
60,vnu.edu.vn,20180329,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,vnu.edu.vn,20180327,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0
62,vnu.edu.vn,20180326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
63,vnu.edu.vn,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,vnu.edu.vn,20180324,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,3,1,0,0,0
65,vnu.edu.vn,20180323,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
66,ow.ly,20180328,1,0,0,0,0,0,2,0,4,5,5,0,1,9,1,4,5,0,3,3,2,3,5,0
67,ow.ly,20180329,1,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,ow.ly,20180327,5,0,0,0,0,2,0,0,5,1,4,4,4,6,3,8,0,1,5,2,3,2,3,8
69,ow.ly,20180326,2,0,0,0,1,0,0,2,5,2,1,3,2,0,0,0,4,1,0,4,2,0,1,3
70,ow.ly,20180325,1,1,0,1,0,1,0,0,0,4,3,2,4,4,3,2,3,2,1,1,1,0,2,3
71,ow.ly,20180324,2,1,0,2,0,0,0,2,0,4,6,3,1,3,2,5,0,3,2,1,1,2,4,5
72,ow.ly,20180323,0,3,0,0,2,0,2,3,1,2,6,1,4,1,4,2,0,2,0,2,2,3,2,3
73,ow.ly,20180322,0,0,0,0,0,0,0,0,4,5,2,1,4,3,5,1,1,4,1,4,2,1,4,4
74,890m.com,20180328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,890m.com,20180327,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
76,890m.com,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
77,890m.com,20180324,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
78,servegame.com,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,18,0,0,0,0,0,0,0
79,ivnet.ru,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
80,xoom.it,20180325,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,000webhostapp.com,20180328,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0
82,000webhostapp.com,20180327,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,3,0,0,0,0,0,0,0
83,000webhostapp.com,20180325,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0
84,000webhostapp.com,20180326,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
85,000webhostapp.com,20180324,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,2,0,6,5,0,0
86,000webhostapp.com,20180323,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5,0,0,0,1,4,0,2,0,0
87,000webhostapp.com,20180322,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,2,0,0,1
88,home.pl,20180328,2,6,4,7,0,0,2,9,26,36,16,6,16,19,7,5,7,10,14,9,1,5,5,9
89,home.pl,20180329,10,11,12,14,14,19,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,home.pl,20180327,4,6,10,4,7,4,12,4,6,6,8,4,6,2,5,2,0,2,1,3,2,0,0,0
91,home.pl,20180326,9,4,12,6,11,4,3,8,5,6,4,3,8,8,8,2,1,0,0,0,0,0,0,0
92,home.pl,20180325,13,11,15,13,8,11,11,10,16,10,12,13,10,16,11,3,0,2,7,6,8,7,0,3
93,home.pl,20180323,12,15,8,5,5,8,6,11,9,8,8,7,5,6,6,10,6,11,14,10,0,1,2,1
94,home.pl,20180324,1,6,2,5,8,4,13,6,2,6,4,2,12,17,11,3,4,5,5,3,2,5,5,3
95,home.pl,20180322,0,0,0,0,0,0,0,0,14,8,11,5,10,6,10,12,10,10,11,5,10,8,3,5
96,u.to,20180328,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3
97,u.to,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,u.to,20180326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
99,u.to,20180325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
100,u.to,20180324,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,tripod.com,20180328,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
102,tripod.com,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,1,0
103,tripod.com,20180326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
104,tripod.com,20180325,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
105,tripod.com,20180323,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0
106,tripod.com,20180322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,esy.es,20180323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
108,asis.io,20180328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
109,asis.io,20180327,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,4,0,2,1,0
110,asis.io,20180326,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,asis.io,20180324,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,1,0,0,0,0,0,1,0,0
112,asis.io,20180323,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0
113,asis.io,20180322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
114,chickenkiller.com,20180328,0,2,0,0,0,0,0,0,0,3,2,2,0,0,0,0,5,0,1,0,2,3,0,2
115,chickenkiller.com,20180327,2,3,0,3,3,0,3,3,3,7,3,3,4,0,0,3,3,5,3,1,2,2,0,0
116,chickenkiller.com,20180326,2,0,0,0,0,0,0,0,0,0,5,0,2,6,3,3,0,2,4,1,5,5,3,2
117,chickenkiller.com,20180325,0,0,0,3,2,1,2,1,5,4,6,2,6,3,2,4,4,3,4,1,3,3,1,5
118,chickenkiller.com,20180324,0,0,0,0,0,0,0,0,0,3,0,5,3,6,1,3,3,0,2,3,3,0,1,4
119,chickenkiller.com,20180323,0,0,0,0,0,0,0,3,6,5,6,4,4,0,0,0,0,0,3,3,0,3,5,0
120,chickenkiller.com,20180322,0,0,0,0,0,0,0,0,4,3,0,3,1,0,6,0,0,3,3,0,2,2,0,0
121,oocities.org,20180329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,oocities.org,20180327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2
